lex,antonym
righteousness,unrighteousness
piety,impiety
godliness,ungodliness
humaneness,inhumaneness
mercifulness,mercilessness
generosity,stinginess
liberality,illiberality
unselfishness,selfishness
altruism,egoism
fairness,unfairness
equity,inequity
kindness,unkindness
beneficence,maleficence
benignity,malignity
benignancy,malignancy
consideration,inconsideration
tactfulness,tactlessness
sensitivity,insensitivity
sensitiveness,insensitiveness
perceptiveness,unperceptiveness
thoughtlessness,thoughtfulness
morality,immorality
good,evil
goodness,evilness
justice,injustice
right,wrong
rightfulness,wrongfulness
corruptibility,incorruptibility
corruptness,incorruptness
holiness,unholiness
safeness,dangerousness
curability,incurability
curableness,incurableness
courage,cowardice
stoutheartedness,faintheartedness
fearlessness,fearfulness
boldness,timidity
gutsiness,gutlessness
resoluteness,irresoluteness
decisiveness,indecisiveness
decision,indecision
sincerity,insincerity
honorableness,dishonorableness
honor,dishonor
scrupulousness,unscrupulousness
respectability,unrespectability
reputability,disreputability
honesty,dishonesty
truthfulness,untruthfulness
veracity,mendacity
ingenuousness,disingenuousness
artlessness,artfulness
fidelity,infidelity
faithfulness,unfaithfulness
loyalty,disloyalty
sophistication,naivete
discipline,indiscipline
restraint,unrestraint
temperance,intemperance
conceit,humility
wisdom,folly
prudence,imprudence
providence,improvidence
trust,distrust
cleanliness,uncleanliness
tidiness,untidiness
propriety,impropriety
properness,improperness
decorum,indecorum
decorousness,indecorousness
political_correctness,political_incorrectness
seemliness,unseemliness
becomingness,unbecomingness
decency,indecency
modesty,immodesty
composure,discomposure
tractability,intractability
tameness,wildness
subordination,insubordination
formality,informality
ceremoniousness,unceremoniousness
courtesy,discourtesy
politeness,impoliteness
graciousness,ungraciousness
civility,incivility
isotropy,anisotropy
directness,indirectness
immediacy,mediacy
oldness,newness
freshness,staleness
youngness,oldness
complex_instruction_set_computing,reduced_instruction_set_computing
complex_instruction_set_computer,reduced_instruction_set_computer
CISC,RISC
thickness,thinness
hardness,softness
compressibility,incompressibility
breakableness,unbreakableness
porosity,solidity
permeability,impermeability
penetrability,impenetrability
perviousness,imperviousness
absorbency,nonabsorbency
smoothness,roughness
brightness,dullness
color,colorlessness
chromatic_color,achromatic_color
pigmentation,depigmentation
lightness,darkness
sound,silence
harmony,dissonance
high_pitch,low_pitch
loudness,softness
palatability,unpalatability
appetizingness,unappetizingness
digestibility,indigestibility
fatness,leanness
tallness,shortness
gracefulness,awkwardness
animateness,inanimateness
sentience,insentience
maleness,femaleness
coldness,hotness
perceptibility,imperceptibility
visibility,invisibility
audibility,inaudibility
elasticity,inelasticity
malleability,unmalleability
heaviness,lightness
strength,weakness
good_part,weak_part
soundness,unsoundness
invulnerability,vulnerability
acidity,alkalinity
