lex,antonym
combustible,noncombustible
explosive,nonexplosive
lighted,unlighted
commodious,incommodious
comfortable,uncomfortable
commensurate,incommensurate
proportionate,disproportionate
commercial,noncommercial
residential,nonresidential
commissioned,noncommissioned
common,uncommon
usual,unusual
hydrophobic,hydrophilic
oleophilic,oleophobic
individual,common
communicative,uncommunicative
compact,loose
comparable,incomparable
compassionate,uncompassionate
compatible,incompatible
miscible,immiscible
competent,incompetent
competitive,noncompetitive
complaining,uncomplaining
compressible,incompressible
whole,fractional
half,whole
committed,uncommitted
dedicated,undedicated
complete,incomplete
comprehensive,noncomprehensive
composed,discomposed
comprehensible,incomprehensible
concave,convex
concentrated,distributed
concentric,eccentric
concerned,unconcerned
concise,prolix
conclusive,inconclusive
consummated,unconsummated
coordinating,subordinating
accordant,discordant
contracted,expanded
atrophied,hypertrophied
conditional,unconditional
enforceable,unenforceable
enforced,unenforced
conductive,nonconductive
confined,unconfined
crowded,uncrowded
congenial,uncongenial
congruent,incongruent
congruous,incongruous
conjunctive,disjunctive
conjunct,disjunct
connected,unconnected
conquerable,unconquerable
conscious,unconscious
consecrated,desecrated
priestly,unpriestly
conservative,liberal
consistent,inconsistent
conspicuous,inconspicuous
discernible,indiscernible
distinguishable,indistinguishable
constant,inconstant
constructive,destructive
contented,discontented
contestable,incontestable
continent,incontinent
continual,sporadic
continuous,discontinuous
continued,discontinued
controlled,uncontrolled
controversial,uncontroversial
argumentative,unargumentative
convenient,inconvenient
conventional,unconventional
conformist,nonconformist
nuclear,conventional
traditional,nontraditional
convergent,divergent
branchy,branchless
convincing,unconvincing
cooked,raw
cooperative,uncooperative
corrupt,incorrupt
synergistic,antagonistic
considerable,inconsiderable
substantial,insubstantial
material,immaterial
bodied,unbodied
brainwashed,unbrainwashed
corporeal,incorporeal
correct,incorrect
right,wrong
corrected,uncorrected
corrigible,incorrigible
cosmopolitan,provincial
costive,laxative
constipated,unconstipated
considerate,inconsiderate
courteous,discourteous
polite,impolite
civil,uncivil
sidereal,civil
creative,uncreative
credible,incredible
credulous,incredulous
critical,uncritical
judgmental,nonjudgmental
noncritical,critical
crossed,uncrossed
