lex,antonym
symmetrical,asymmetrical
actinomorphic,zygomorphic
sympathetic,unsympathetic
sympatric,allopatric
synchronic,diachronic
synchronous,asynchronous
syndetic,asyndetic
synonymous,antonymous
systematic,unsystematic
taciturn,voluble
tactful,tactless
tall,short
tame,wild
tangible,intangible
tasteful,tasteless
tasty,tasteless
taxable,nontaxable
temperate,intemperate
tense,lax
relaxed,tense
territorial,extraterritorial
nonterritorial,territorial
thermoplastic,thermosetting
thick,thin
thinkable,unthinkable
thoughtful,thoughtless
thrifty,wasteful
tidy,untidy
groomed,ungroomed
combed,uncombed
timbered,untimbered
toned,toneless
tongued,tongueless
tipped,untipped
tired,rested
tolerable,intolerable
tolerant,intolerant
tonal,atonal
toothed,toothless
top,bottom
side,top
topped,topless
bottomed,bottomless
top-down,bottom-up
equatorial,polar
testate,intestate
touched,untouched
tough,tender
toxic,nontoxic
tractable,intractable
table_d'hote,a_la_carte
traceable,untraceable
tracked,trackless
traveled,untraveled
trimmed,untrimmed
troubled,untroubled
true,false
trustful,distrustful
trustworthy,untrustworthy
tubed,tubeless
tucked,untucked
turned,unturned
typical,atypical
underhand,overhand
surface,subsurface
overhead,surface
submersible,nonsubmersible
tearful,tearless
union,nonunion
uniparous,multiparous
unipolar,bipolar
united,divided
adnate,connate
univalve,bivalve
ascending,descending
rising,falling
climactic,anticlimactic
upmarket,downmarket
transitive,intransitive
translatable,untranslatable
ungulate,unguiculate
up,down
upstage,downstage
upstairs,downstairs
upstream,downstream
uptown,downtown
used,misused
useful,useless
utopian,dystopian
valid,invalid
valuable,worthless
variable,invariable
varied,unvaried
veiled,unveiled
ventilated,unventilated
vertebrate,invertebrate
violable,inviolable
violent,nonviolent
virtuous,wicked
visible,invisible
viviparous,oviparous
ovoviviparous,viviparous
volatile,nonvolatile
voluntary,involuntary
vulnerable,invulnerable
wanted,unwanted
warm,cool
warm-blooded,cold-blooded
warmhearted,coldhearted
washable,nonwashable
waxed,unwaxed
waxing,waning
increasing,decreasing
inflationary,deflationary
weaned,unweaned
wearable,unwearable
weedy,weedless
welcome,unwelcome
well,ill
wet,dry
hydrous,anhydrous
wheeled,wheelless
white-collar,blue-collar
wholesome,unwholesome
wide,narrow
wieldy,unwieldy
wigged,wigless
willing,unwilling
winged,wingless
wired,wireless
wise,foolish
wooded,unwooded
woody,nonwoody
worldly,unworldly
woven,unwoven
worn,new
worthy,unworthy
xeric,hydric
mesic,xeric
zonal,azonal
acrocarpous,pleurocarpous
cursorial,fossorial
homocercal,heterocercal
webbed,unwebbed
faceted,unfaceted
ipsilateral,contralateral
salient,re-entrant
proactive,retroactive
rh-positive,rh-negative
categorematic,syncategorematic
idiographic,nomothetic
pro-choice,pro-life
baptized,unbaptized
malignant,benign
calcicolous,calcifugous
invertible,non-invertible
immunocompetent,immunodeficient
allogeneic,xenogeneic
long-spurred,short-spurred
shelled,unshelled
jawed,jawless
skinned,skinless
flowering,flowerless
abient,adient
anodic,cathodic
autotrophic,heterotrophic
bracteate,ebracteate
extracellular,intracellular
cenobitic,eremitic
cenogenetic,palingenetic
chromatinic,achromatinic
directional,omnidirectional
dysgenic,eugenic
febrile,afebrile
fictional,nonfictional
fretted,unfretted
harmonic,nonharmonic
ionic,nonionic
myelinated,unmyelinated
paradigmatic,syntagmatic
passerine,nonpasserine
photosynthetic,nonphotosynthetic
ruminant,nonruminant
spherical,nonspherical
steroidal,nonsteroidal
suppurative,nonsuppurative
unthematic,thematic
thermal,nonthermal
vocal,instrumental
hydrostatic,hydrokinetic
spatial,nonspatial
linguistic,nonlinguistic
caudal,cephalic
financial,nonfinancial
eukaryotic,prokaryotic
eucaryotic,procaryotic
vascular,avascular
uninucleate,multinucleate
nonsurgical,surgical
endocrine,exocrine
historical,ahistorical
anti-American,pro-American
anionic,cationic
accusatorial,inquisitorial
prenuptial,postnuptial
interdepartmental,intradepartmental
homeopathic,allopathic
nontranslational,translational
avenged,unavenged
collected,uncollected
gathered,ungathered
contested,uncontested
filled,unfilled
malted,unmalted
posed,unposed
saponified,unsaponified
