axis,count
crystalline<-v->noncrystalline,0
landed<-v->landless,0
light<-v->dark,139
shaded<-v->unshaded,4
moonlit<-v->moonless,1
bridgeable<-v->unbridgeable,0
bright<-v->dull,51
dimmed<-v->undimmed,0
prejudiced<-v->unprejudiced,1
broad-minded<-v->narrow-minded,0
reconstructed<-v->unreconstructed,6
broken<-v->unbroken,22
brotherly<-v->sisterly,1
exergonic<-v->endergonic,0
fraternal<-v->identical,21
buried<-v->unburied,0
busy<-v->idle,39
bony<-v->boneless,2
buttoned<-v->unbuttoned,2
capitalistic<-v->socialistic,4
cacophonous<-v->euphonious,0
calculable<-v->incalculable,1
calm<-v->stormy,14
camphorated<-v->uncamphorated,0
capable<-v->incapable,35
cared-for<-v->uncared-for,0
careful<-v->careless,26
carnivorous<-v->herbivorous,0
omnivorous<-v->insectivorous,0
holozoic<-v->holophytic,0
carpellate<-v->acarpelous,0
carpeted<-v->uncarpeted,2
carvel-built<-v->clinker-built,0
carved<-v->uncarved,2
acatalectic<-v->catalectic,0
hypercatalectic<-v->acatalectic,0
cauline<-v->radical,10
censored<-v->uncensored,0
caudate<-v->acaudate,0
caulescent<-v->acaulescent,0
causative<-v->noncausative,1
cautious<-v->incautious,2
cellular<-v->noncellular,0
coherent<-v->incoherent,6
compartmented<-v->uncompartmented,0
porous<-v->nonporous,11
central<-v->peripheral,21
centrifugal<-v->centripetal,0
afferent<-v->efferent,1
centralizing<-v->decentralizing,0
certain<-v->uncertain,168
sure<-v->unsure,80
convinced<-v->unconvinced,3
confident<-v->diffident,8
certified<-v->uncertified,4
inevitable<-v->evitable,8
preventable<-v->unpreventable,0
changeable<-v->unchangeable,1
commutable<-v->incommutable,0
alterable<-v->unalterable,1
modifiable<-v->unmodifiable,0
adjusted<-v->unadjusted,16
maladjusted<-v->adjusted,4
altered<-v->unaltered,1
amended<-v->unamended,2
changed<-v->unchanged,7
isometric<-v->isotonic,4
ionized<-v->nonionized,2
mutable<-v->immutable,0
characteristic<-v->uncharacteristic,22
charged<-v->uncharged,12
charitable<-v->uncharitable,3
chartered<-v->unchartered,0
owned<-v->unowned,1
chaste<-v->unchaste,0
cheerful<-v->depressing,4
chlamydeous<-v->achlamydeous,0
chondritic<-v->achondritic,0
monoclinic<-v->triclinic,0
monochromatic<-v->polychromatic,0
chromatic<-v->achromatic,0
saturated<-v->unsaturated,3
color<-v->black-and-white,4
colored<-v->uncolored,25
stained<-v->unstained,13
colorful<-v->colorless,9
colourful<-v->colourless,0
diatonic<-v->chromatic,0
cismontane<-v->tramontane,0
christian<-v->unchristian,37
civilized<-v->noncivilized,3
classical<-v->nonclassical,10
classified<-v->unclassified,2
analyzed<-v->unanalyzed,0
clean<-v->dirty,37
radioactive<-v->nonradioactive,3
unclean<-v->clean,24
clear<-v->unclear,80
opaque<-v->clear,83
radiolucent<-v->radiopaque,0
clearheaded<-v->confused,14
clement<-v->inclement,0
smart<-v->stupid,26
