axis,count
loved<-v->unloved,0
loving<-v->unloving,3
lowercase<-v->uppercase,0
lucky<-v->unlucky,13
lyric<-v->dramatic,22
made<-v->unmade,4
magnetic<-v->antimagnetic,5
geographic<-v->magnetic,6
nonmagnetic<-v->magnetic,5
major<-v->minor,100
majuscule<-v->minuscule,0
manageable<-v->unmanageable,0
manly<-v->unmanly,0
male<-v->female,22
androgynous<-v->male,8
manned<-v->unmanned,3
marked<-v->unmarked,18
branded<-v->unbranded,1
married<-v->unmarried,19
mated<-v->unmated,1
masculine<-v->feminine,8
womanly<-v->unwomanly,1
neuter<-v->masculine,3
matched<-v->mismatched,1
mature<-v->immature,11
ripe<-v->green,33
seasonal<-v->year-round,3
seasonable<-v->unseasonable,0
seasoned<-v->unseasoned,0
full-term<-v->premature,0
maximal<-v->minimal,26
maximum<-v->minimum,59
meaningful<-v->meaningless,12
measurable<-v->immeasurable,5
meaty<-v->meatless,1
mechanical<-v->nonmechanical,13
melodious<-v->unmelodious,1
tuneful<-v->tuneless,1
membered<-v->memberless,0
mined<-v->unmined,0
musical<-v->unmusical,23
melted<-v->unmelted,0
merciful<-v->merciless,4
metabolic<-v->ametabolic,1
mild<-v->intense,27
intensive<-v->extensive,17
involved<-v->uninvolved,28
military<-v->civilian,60
unmilitary<-v->military,52
mitigated<-v->unmitigated,0
tempered<-v->untempered,0
mobile<-v->immobile,2
portable<-v->unportable,3
removable<-v->irremovable,0
metallic<-v->nonmetallic,7
metamorphic<-v->nonmetamorphic,0
moderate<-v->immoderate,12
modern<-v->nonmodern,71
modest<-v->immodest,6
modified<-v->unmodified,2
modulated<-v->unmodulated,0
molar<-v->molecular,6
monoclinous<-v->diclinous,0
monoecious<-v->dioecious,0
monophonic<-v->polyphonic,1
monogamous<-v->polygamous,0
monolingual<-v->multilingual,0
monovalent<-v->polyvalent,0
univalent<-v->bivalent,1
multivalent<-v->univalent,1
monotonic<-v->nonmonotonic,0
moral<-v->immoral,12
licit<-v->illicit,1
principled<-v->unprincipled,0
many<-v->few,427
much<-v->little,394
more<-v->less,240
most<-v->least,104
fewer<-v->more,212
fewest<-v->most,102
mortal<-v->immortal,9
motivated<-v->unmotivated,3
motorized<-v->unmotorized,0
moved<-v->unmoved,2
moving<-v->unmoving,11
nonmoving<-v->moving,11
still<-v->moving,41
mown<-v->unmown,0
seamanlike<-v->unseamanlike,0
continental<-v->intercontinental,5
international<-v->national,107
interstate<-v->intrastate,1
natural<-v->unnatural,47
artificial<-v->natural,49
supernatural<-v->natural,46
ultimate<-v->proximate,25
necessary<-v->unnecessary,87
net<-v->gross,17
neurotic<-v->unneurotic,4
nice<-v->nasty,31
nidicolous<-v->nidifugous,0
noble<-v->ignoble,6
lowborn<-v->noble,6
normal<-v->abnormal,79
hypertensive<-v->hypotensive,0
normotensive<-v->hypertensive,0
paranormal<-v->normal,78
north<-v->south,20
northern<-v->southern,63
nosed<-v->noseless,1
noticed<-v->unnoticed,1
detected<-v->undetected,2
determined<-v->undetermined,10
noxious<-v->innocuous,0
obedient<-v->disobedient,5
obtrusive<-v->unobtrusive,0
objective<-v->subjective,19
obligated<-v->unobligated,2
obligate<-v->facultative,0
obvious<-v->unobvious,26
obstructed<-v->unobstructed,0
occupied<-v->unoccupied,5
offensive<-v->inoffensive,1
savory<-v->unsavory,1
defensive<-v->offensive,11
offending<-v->unoffending,0
apologetic<-v->unapologetic,1
official<-v->unofficial,15
confirmed<-v->unconfirmed,3
established<-v->unestablished,9
conditioned<-v->unconditioned,0
on-site<-v->off-site,1
offstage<-v->onstage,0
off-street<-v->on-street,0
old<-v->new,574
young<-v->old,317
one-piece<-v->two-piece,0
three-piece<-v->one-piece,0
on-line<-v->off-line,0
on<-v->off,10
onside<-v->offside,0
open<-v->shut,101
closed<-v->open,116
spaced<-v->unspaced,3
enclosed<-v->unenclosed,0
tanned<-v->untanned,1
tapped<-v->untapped,0
operational<-v->nonoperational,14
opportune<-v->inopportune,0
opposable<-v->unopposable,0
opposed<-v->unopposed,2
opposite<-v->alternate,30
optimistic<-v->pessimistic,3
aboral<-v->oral,6
actinal<-v->abactinal,0
orderly<-v->disorderly,6
ordered<-v->disordered,8
organized<-v->disorganized,9
unorganized<-v->organized,7
structured<-v->unstructured,24
ordinary<-v->extraordinary,47
inorganic<-v->organic,27
holistic<-v->atomistic,0
arranged<-v->disarranged,2
oriented<-v->unoriented,4
orienting<-v->disorienting,0
original<-v->unoriginal,30
orthodox<-v->unorthodox,9
outdoor<-v->indoor,10
outside<-v->inside,28
covered<-v->bare,16
coated<-v->uncoated,1
roofed<-v->roofless,0
leafy<-v->leafless,0
lipped<-v->lipless,1
overt<-v->covert,1
paid<-v->unpaid,8
painful<-v->painless,12
painted<-v->unpainted,3
delineated<-v->undelineated,0
paintable<-v->unpaintable,1
palatable<-v->unpalatable,0
palpable<-v->impalpable,1
parallel<-v->perpendicular,10
oblique<-v->parallel,12
pardonable<-v->unpardonable,1
excusable<-v->inexcusable,1
parental<-v->filial,1
partial<-v->impartial,7
particulate<-v->nonparticulate,4
passable<-v->impassable,1
passionate<-v->passionless,7
past<-v->present,132
future<-v->past,52
born<-v->unborn,6
parented<-v->unparented,0
paternal<-v->maternal,1
wifely<-v->husbandly,1
patient<-v->impatient,10
patriarchal<-v->matriarchal,1
patronized<-v->unpatronized,0
packaged<-v->unpackaged,0
paved<-v->unpaved,4
patriotic<-v->unpatriotic,5
peaceful<-v->unpeaceful,5
penitent<-v->impenitent,0
repentant<-v->unrepentant,1
perceptive<-v->unperceptive,2
perceptible<-v->imperceptible,1
perfect<-v->imperfect,20
perishable<-v->imperishable,0
permanent<-v->impermanent,13
persistent<-v->caducous,11
reversible<-v->irreversible,3
nonreversible<-v->reversible,2
revocable<-v->irrevocable,1
permissible<-v->impermissible,0
admissible<-v->inadmissible,1
permissive<-v->unpermissive,0
preventive<-v->permissive,1
perplexed<-v->unperplexed,2
personal<-v->impersonal,53
persuasive<-v->dissuasive,1
penetrable<-v->impenetrable,0
permeable<-v->impermeable,0
pervious<-v->impervious,1
petalous<-v->apetalous,0
puncturable<-v->punctureless,0
psychoactive<-v->nonpsychoactive,0
physical<-v->mental,60
monotheistic<-v->polytheistic,0
pious<-v->impious,2
secular<-v->religious,13
irreligious<-v->religious,13
placable<-v->implacable,2
plain<-v->patterned,13
fancy<-v->plain,16
planned<-v->unplanned,5
studied<-v->unstudied,0
plausible<-v->implausible,2
pleasant<-v->unpleasant,16
pleased<-v->displeased,13
pleasing<-v->displeasing,7
pointed<-v->pointless,2
obtuse<-v->acute,5
polished<-v->unpolished,2
politic<-v->impolitic,1
political<-v->nonpolitical,63
ponderable<-v->imponderable,0
popular<-v->unpopular,33
pro<-v->anti,12
positive<-v->negative,40
neutral<-v->positive,34
plus<-v->minus,0
possible<-v->impossible,202
potent<-v->impotent,9
powerful<-v->powerless,24
powered<-v->unpowered,0
high-tension<-v->low-tension,0
influential<-v->uninfluential,2
placental<-v->aplacental,0
planted<-v->unplanted,1
plowed<-v->unplowed,1
cultivated<-v->uncultivated,0
potted<-v->unpotted,0
practical<-v->impractical,25
precise<-v->imprecise,18
precocious<-v->retarded,2
predictable<-v->unpredictable,7
premeditated<-v->unpremeditated,1
prepared<-v->unprepared,17
prescription<-v->nonprescription,0
absent<-v->present,111
ostentatious<-v->unostentatious,1
pretentious<-v->unpretentious,1
primary<-v->secondary,42
basic<-v->incidental,63
private<-v->public,116
exclusive<-v->inclusive,8
privileged<-v->underprivileged,6
productive<-v->unproductive,10
generative<-v->consumptive,3
reproducible<-v->unreproducible,5
professional<-v->nonprofessional,34
unprofessional<-v->professional,34
profitable<-v->unprofitable,4
profound<-v->superficial,24
prognathous<-v->opisthognathous,0
progressive<-v->regressive,6
pronounceable<-v->unpronounceable,0
proper<-v->improper,38
prophetic<-v->unprophetic,3
prospective<-v->retrospective,6
protected<-v->unprotected,1
protective<-v->unprotective,10
proud<-v->humble,20
proved<-v->unproved,1
provident<-v->improvident,0
provocative<-v->unprovocative,1
prudent<-v->imprudent,0
punctual<-v->unpunctual,0
punished<-v->unpunished,1
punitive<-v->rehabilitative,1
purebred<-v->crossbred,0
pure<-v->impure,23
contaminated<-v->uncontaminated,0
purposeful<-v->purposeless,2
qualified<-v->unqualified,6
trained<-v->untrained,8
qualitative<-v->quantitative,10
questionable<-v->unquestionable,2
noisy<-v->quiet,32
restful<-v->restless,3
unquiet<-v->quiet,28
random<-v->nonrandom,5
rational<-v->irrational,7
cerebral<-v->emotional,31
racial<-v->nonracial,7
reactive<-v->unreactive,0
ready<-v->unready,66
real<-v->unreal,77
nominal<-v->real,78
realistic<-v->unrealistic,13
reasonable<-v->unreasonable,30
reciprocal<-v->nonreciprocal,7
refined<-v->unrefined,3
processed<-v->unprocessed,1
treated<-v->untreated,2
oiled<-v->unoiled,1
recoverable<-v->unrecoverable,1
regenerate<-v->unregenerate,0
registered<-v->unregistered,0
regular<-v->irregular,41
regulated<-v->unregulated,1
remediable<-v->irremediable,1
renewable<-v->unrenewable,0
rentable<-v->unrentable,0
reparable<-v->irreparable,2
repeatable<-v->unrepeatable,0
quotable<-v->unquotable,0
repetitive<-v->nonrepetitive,1
printable<-v->unprintable,1
requested<-v->unrequested,0
rhymed<-v->unrhymed,0
uniform<-v->multiform,6
periodic<-v->aperiodic,5
related<-v->unrelated,26
relevant<-v->irrelevant,17
mindful<-v->unmindful,3
replaceable<-v->irreplaceable,0
representational<-v->nonrepresentational,2
representative<-v->nonrepresentative,4
reputable<-v->disreputable,4
receptive<-v->unreceptive,1
reconcilable<-v->irreconcilable,1
reserved<-v->unreserved,0
resistible<-v->irresistible,1
resolute<-v->irresolute,2
respectable<-v->unrespectable,12
respectful<-v->disrespectful,3
responsible<-v->irresponsible,12
responsive<-v->unresponsive,1
restrained<-v->unrestrained,3
restricted<-v->unrestricted,5
restrictive<-v->unrestrictive,2
retentive<-v->unretentive,1
reticulate<-v->nonreticulate,3
retractile<-v->nonretractile,0
reflective<-v->nonreflective,3
reflected<-v->unreflected,0
reverberant<-v->unreverberant,0
reverent<-v->irreverent,0
revived<-v->unrevived,0
awakened<-v->unawakened,2
awed<-v->unawed,3
revolutionary<-v->counterrevolutionary,7
rewarding<-v->unrewarding,2
rhetorical<-v->unrhetorical,0
rhythmical<-v->unrhythmical,1
ribbed<-v->ribless,0
rich<-v->poor,61
moneyed<-v->moneyless,0
solvent<-v->insolvent,0
lean<-v->rich,34
rimmed<-v->rimless,1
handed<-v->handless,1
handled<-v->handleless,1
right-handed<-v->left-handed,0
ambidextrous<-v->right-handed,0
left<-v->center,52
horned<-v->hornless,0
righteous<-v->unrighteous,1
robust<-v->frail,5
round<-v->square,21
rounded<-v->angular,5
oblate<-v->prolate,0
rural<-v->urban,32
rusted<-v->rustless,1
holy<-v->unholy,2
sacred<-v->profane,7
sadistic<-v->masochistic,1
safe<-v->dangerous,49
out<-v->safe,32
salable<-v->unsalable,1
same<-v->different,378
other<-v->same,737
similar<-v->dissimilar,68
sane<-v->insane,14
satiate<-v->insatiate,0
sarcastic<-v->unsarcastic,4
satisfactory<-v->unsatisfactory,27
scalable<-v->unscalable,0
scholarly<-v->unscholarly,2
scientific<-v->unscientific,26
scrupulous<-v->unscrupulous,2
conscientious<-v->unconscientious,2
sealed<-v->unsealed,0
wrapped<-v->unwrapped,3
seaworthy<-v->unseaworthy,0
airworthy<-v->unairworthy,0
concealed<-v->unconcealed,3
concealing<-v->revealing,1
sectarian<-v->nonsectarian,0
secure<-v->insecure,5
fastened<-v->unfastened,2
insured<-v->uninsured,1
seductive<-v->unseductive,1
selfish<-v->unselfish,4
senior<-v->junior,9
sensational<-v->unsensational,6
sensible<-v->insensible,3
sensitive<-v->insensitive,21
sensitizing<-v->desensitizing,0
sensory<-v->extrasensory,7
sent<-v->unsent,0
separate<-v->joint,27
sanitary<-v->unsanitary,0
septic<-v->antiseptic,5
germfree<-v->germy,0
adulterating<-v->purifying,0
serious<-v->frivolous,49
playful<-v->unplayful,1
selected<-v->unselected,2
serviceable<-v->unserviceable,2
resident<-v->nonresident,5
settled<-v->unsettled,5
migratory<-v->nonmigratory,0
sexy<-v->unsexy,1
sexual<-v->asexual,17
castrated<-v->uncastrated,0
aphrodisiac<-v->anaphrodisiac,0
estrous<-v->anestrous,0
shapely<-v->unshapely,1
breasted<-v->breastless,0
formed<-v->unformed,0
shared<-v->unshared,2
shaven<-v->unshaven,2
sheared<-v->unsheared,0
sheathed<-v->unsheathed,0
shockable<-v->unshockable,0
shod<-v->unshod,2
calced<-v->discalced,0
nearsighted<-v->farsighted,1
shrinkable<-v->unshrinkable,0
sighted<-v->blind,18
signed<-v->unsigned,4
significant<-v->insignificant,36
nonsignificant<-v->significant,32
silenced<-v->unsilenced,1
simple<-v->compound,73
complex<-v->simple,101
sincere<-v->insincere,6
singular<-v->plural,5
cardinal<-v->ordinal,3
scripted<-v->unscripted,0
sinkable<-v->unsinkable,0
single<-v->multiple,80
double<-v->single,88
multiple-choice<-v->true-false,1
single-lane<-v->multilane,0
sized<-v->unsized,2
skilled<-v->unskilled,11
verbal<-v->numerical,13
coarse<-v->fine,15
smoky<-v->smokeless,0
slippery<-v->nonslippery,3
lubricated<-v->unlubricated,0
smooth<-v->rough,37
furrowed<-v->unfurrowed,0
rifled<-v->unrifled,0
social<-v->unsocial,92
accompanied<-v->unaccompanied,3
gregarious<-v->ungregarious,2
seamed<-v->seamless,0
seeded<-v->unseeded,0
seedy<-v->seedless,0
shuttered<-v->unshuttered,0
sleeved<-v->sleeveless,0
sociable<-v->unsociable,0
sold<-v->unsold,1
soled<-v->soleless,1
solid<-v->liquid,53
gaseous<-v->solid,33
hollow<-v->solid,35
soluble<-v->insoluble,10
solved<-v->unsolved,4
some<-v->no,272
all<-v->some,387
sophisticated<-v->naive,16
sound<-v->unsound,13
effervescent<-v->noneffervescent,0
sparkling<-v->still,32
specialized<-v->unspecialized,6
spinous<-v->spineless,1
spirited<-v->spiritless,3
spontaneous<-v->induced,9
spoken<-v->written,11
voiced<-v->unvoiced,1
unwritten<-v->written,10
vocalic<-v->consonantal,5
stoppable<-v->unstoppable,0
syllabic<-v->nonsyllabic,0
accentual<-v->quantitative,5
stable<-v->unstable,15
staccato<-v->legato,1
staged<-v->unstaged,0
standard<-v->nonstandard,19
starchy<-v->starchless,0
starry<-v->starless,0
nourished<-v->malnourished,1
steady<-v->unsteady,11
stemmed<-v->stemless,1
stimulating<-v->unstimulating,1
depressant<-v->stimulative,0
stomatous<-v->astomatous,0
crooked<-v->straight,26
curved<-v->straight,29
coiled<-v->uncoiled,0
stressed<-v->unstressed,5
tonic<-v->atonic,0
strong<-v->weak,88
stubborn<-v->docile,8
insubordinate<-v->subordinate,2
successful<-v->unsuccessful,46
sufficient<-v->insufficient,33
sugary<-v->sugarless,0
superior<-v->inferior,24
superjacent<-v->subjacent,0
superscript<-v->subscript,0
adscript<-v->superscript,0
supervised<-v->unsupervised,0
supported<-v->unsupported,0
assisted<-v->unassisted,2
supportive<-v->unsupportive,5
surmountable<-v->insurmountable,1
surprised<-v->unsurprised,15
surprising<-v->unsurprising,11
susceptible<-v->unsusceptible,2
impressionable<-v->unimpressionable,0
exempt<-v->nonexempt,2
scheduled<-v->unscheduled,1
sweet<-v->dry,42
sour<-v->sweet,24
soured<-v->unsoured,0
suspected<-v->unsuspected,0
swept<-v->unswept,0
sworn<-v->unsworn,1
symmetrical<-v->asymmetrical,2
actinomorphic<-v->zygomorphic,0
sympathetic<-v->unsympathetic,24
sympatric<-v->allopatric,0
synchronic<-v->diachronic,1
synchronous<-v->asynchronous,1
syndetic<-v->asyndetic,0
synonymous<-v->antonymous,1
systematic<-v->unsystematic,2
taciturn<-v->voluble,0
tactful<-v->tactless,0
tall<-v->short,147
tame<-v->wild,43
tangible<-v->intangible,2
tasteful<-v->tasteless,1
tasty<-v->tasteless,0
taxable<-v->nontaxable,1
temperate<-v->intemperate,0
tense<-v->lax,1
relaxed<-v->tense,2
territorial<-v->extraterritorial,2
nonterritorial<-v->territorial,2
thermoplastic<-v->thermosetting,0
thick<-v->thin,81
thinkable<-v->unthinkable,0
thoughtful<-v->thoughtless,7
thrifty<-v->wasteful,4
tidy<-v->untidy,0
groomed<-v->ungroomed,1
combed<-v->uncombed,0
timbered<-v->untimbered,2
toned<-v->toneless,1
tongued<-v->tongueless,1
tipped<-v->untipped,1
tired<-v->rested,9
tolerable<-v->intolerable,3
tolerant<-v->intolerant,5
tonal<-v->atonal,7
toothed<-v->toothless,0
top<-v->bottom,11
side<-v->top,17
topped<-v->topless,1
bottomed<-v->bottomless,1
top-down<-v->bottom-up,0
equatorial<-v->polar,4
testate<-v->intestate,0
touched<-v->untouched,2
tough<-v->tender,29
toxic<-v->nontoxic,3
tractable<-v->intractable,2
table_d'hote<-v->a_la_carte,0
traceable<-v->untraceable,1
tracked<-v->trackless,0
traveled<-v->untraveled,2
trimmed<-v->untrimmed,0
troubled<-v->untroubled,2
true<-v->false,98
trustful<-v->distrustful,0
trustworthy<-v->untrustworthy,2
tubed<-v->tubeless,0
tucked<-v->untucked,0
turned<-v->unturned,5
typical<-v->atypical,29
underhand<-v->overhand,1
surface<-v->subsurface,3
overhead<-v->surface,6
submersible<-v->nonsubmersible,0
tearful<-v->tearless,0
union<-v->nonunion,4
uniparous<-v->multiparous,0
unipolar<-v->bipolar,0
united<-v->divided,5
adnate<-v->connate,0
univalve<-v->bivalve,0
ascending<-v->descending,3
rising<-v->falling,4
climactic<-v->anticlimactic,0
upmarket<-v->downmarket,0
transitive<-v->intransitive,0
translatable<-v->untranslatable,0
ungulate<-v->unguiculate,0
up<-v->down,20
upstage<-v->downstage,0
upstairs<-v->downstairs,5
upstream<-v->downstream,1
uptown<-v->downtown,13
used<-v->misused,7
useful<-v->useless,23
utopian<-v->dystopian,26
valid<-v->invalid,5
valuable<-v->worthless,22
variable<-v->invariable,10
varied<-v->unvaried,11
veiled<-v->unveiled,3
ventilated<-v->unventilated,1
vertebrate<-v->invertebrate,0
violable<-v->inviolable,0
violent<-v->nonviolent,10
virtuous<-v->wicked,4
visible<-v->invisible,21
viviparous<-v->oviparous,0
ovoviviparous<-v->viviparous,0
volatile<-v->nonvolatile,3
voluntary<-v->involuntary,2
vulnerable<-v->invulnerable,9
wanted<-v->unwanted,2
warm<-v->cool,66
warm-blooded<-v->cold-blooded,1
warmhearted<-v->coldhearted,0
washable<-v->nonwashable,0
waxed<-v->unwaxed,1
waxing<-v->waning,0
increasing<-v->decreasing,15
inflationary<-v->deflationary,0
weaned<-v->unweaned,0
wearable<-v->unwearable,0
weedy<-v->weedless,0
welcome<-v->unwelcome,6
well<-v->ill,16
wet<-v->dry,42
hydrous<-v->anhydrous,2
wheeled<-v->wheelless,0
white-collar<-v->blue-collar,4
wholesome<-v->unwholesome,2
wide<-v->narrow,84
wieldy<-v->unwieldy,0
wigged<-v->wigless,0
willing<-v->unwilling,23
winged<-v->wingless,0
wired<-v->wireless,1
wise<-v->foolish,21
wooded<-v->unwooded,1
woody<-v->nonwoody,0
worldly<-v->unworldly,1
woven<-v->unwoven,1
worn<-v->new,369
worthy<-v->unworthy,15
xeric<-v->hydric,0
mesic<-v->xeric,0
zonal<-v->azonal,0
acrocarpous<-v->pleurocarpous,0
cursorial<-v->fossorial,0
homocercal<-v->heterocercal,0
webbed<-v->unwebbed,0
faceted<-v->unfaceted,0
ipsilateral<-v->contralateral,0
salient<-v->re-entrant,3
proactive<-v->retroactive,0
rh-positive<-v->rh-negative,0
categorematic<-v->syncategorematic,0
idiographic<-v->nomothetic,0
pro-choice<-v->pro-life,0
baptized<-v->unbaptized,0
malignant<-v->benign,0
calcicolous<-v->calcifugous,0
invertible<-v->non-invertible,0
immunocompetent<-v->immunodeficient,0
allogeneic<-v->xenogeneic,0
long-spurred<-v->short-spurred,0
shelled<-v->unshelled,0
jawed<-v->jawless,0
skinned<-v->skinless,0
flowering<-v->flowerless,0
abient<-v->adient,0
anodic<-v->cathodic,0
autotrophic<-v->heterotrophic,0
bracteate<-v->ebracteate,0
extracellular<-v->intracellular,0
cenobitic<-v->eremitic,0
cenogenetic<-v->palingenetic,0
chromatinic<-v->achromatinic,0
directional<-v->omnidirectional,1
dysgenic<-v->eugenic,1
febrile<-v->afebrile,0
fictional<-v->nonfictional,10
fretted<-v->unfretted,0
harmonic<-v->nonharmonic,1
ionic<-v->nonionic,4
myelinated<-v->unmyelinated,0
paradigmatic<-v->syntagmatic,0
passerine<-v->nonpasserine,0
photosynthetic<-v->nonphotosynthetic,0
ruminant<-v->nonruminant,0
spherical<-v->nonspherical,6
steroidal<-v->nonsteroidal,0
suppurative<-v->nonsuppurative,0
unthematic<-v->thematic,2
thermal<-v->nonthermal,27
vocal<-v->instrumental,5
hydrostatic<-v->hydrokinetic,0
spatial<-v->nonspatial,8
linguistic<-v->nonlinguistic,9
caudal<-v->cephalic,0
financial<-v->nonfinancial,22
eukaryotic<-v->prokaryotic,0
eucaryotic<-v->procaryotic,0
vascular<-v->avascular,3
uninucleate<-v->multinucleate,0
nonsurgical<-v->surgical,0
endocrine<-v->exocrine,0
historical<-v->ahistorical,21
anti-American<-v->pro-American,0
anionic<-v->cationic,2
accusatorial<-v->inquisitorial,0
prenuptial<-v->postnuptial,0
interdepartmental<-v->intradepartmental,2
homeopathic<-v->allopathic,0
nontranslational<-v->translational,0
avenged<-v->unavenged,0
collected<-v->uncollected,0
gathered<-v->ungathered,0
contested<-v->uncontested,0
filled<-v->unfilled,26
malted<-v->unmalted,0
posed<-v->unposed,0
saponified<-v->unsaponified,0
